order_id,customer,product,amount
1001,Alice,Laptop,75000
1002,Bob,Mouse,1200
1003,Alice,Keyboard,2500
1004,Charlie,Monitor,15000
1005,Bob,Phone,65000
1006,Ivan,Keyboard,2500
1007,Charlie,Printer,12000
1008,Charlie,Keyboard,2500
1009,Ivan,Tablet,45000
1010,Ethan,Mouse,1200
1011,Diana,Tablet,45000
1012,George,Phone,65000
1013,Bob,Tablet,45000
1014,Ivan,Laptop,75000
1015,George,Phone,65000
1016,Diana,Webcam,4000
1017,Hannah,Webcam,4000
1018,George,Webcam,4000
1019,Alice,Mouse,1200
1020,Diana,Tablet,45000
1021,Diana,Keyboard,2500
1022,George,Headphones,3500
1023,Ethan,Headphones,3500
1024,Diana,Headphones,3500
1025,Fiona,Keyboard,2500
1026,Ivan,Tablet,45000
1027,Ivan,Keyboard,2500
1028,Hannah,Laptop,75000
1029,Fiona,Printer,12000
1030,George,Monitor,15000
1031,Diana,Laptop,75000
1032,Alice,Monitor,15000
1033,Ethan,Webcam,4000
1034,Charlie,Headphones,3500
1035,Diana,Mouse,1200
1036,Diana,Headphones,3500
1037,Hannah,Headphones,3500
1038,Ethan,Tablet,45000
1039,George,Mouse,1200
1040,Ethan,Keyboard,2500
1041,Ivan,Printer,12000
1042,Ivan,Laptop,75000
1043,Ethan,Webcam,4000
1044,Diana,Keyboard,2500
1045,Bob,Headphones,3500
1046,Diana,Mouse,1200
1047,Alice,Phone,65000
1048,Bob,Headphones,3500
1049,Ivan,Monitor,15000
1050,Alice,Headphones,3500
1051,Hannah,Phone,65000
1052,Hannah,Keyboard,2500
1053,Diana,Headphones,3500
1054,Hannah,Webcam,4000
1055,Hannah,Mouse,1200
1056,Bob,Monitor,15000
1057,Fiona,Monitor,15000
1058,Charlie,Printer,12000
1059,Ethan,Monitor,15000
1060,Ethan,Tablet,45000
1061,Fiona,Keyboard,2500
1062,Bob,Mouse,1200
1063,Fiona,Monitor,15000
1064,Alice,Keyboard,2500
1065,Ivan,Phone,65000
1066,Ethan,Monitor,15000
1067,Bob,Mouse,1200
1068,George,Mouse,1200
1069,Ethan,Keyboard,2500
1070,Fiona,Monitor,15000
1071,Ethan,Tablet,45000
1072,George,Monitor,15000
1073,Charlie,Tablet,45000
1074,Alice,Printer,12000
1075,George,Mouse,1200
1076,Alice,Mouse,1200
1077,Alice,Monitor,15000
1078,Hannah,Tablet,45000
1079,George,Webcam,4000
1080,Alice,Headphones,3500
1081,Ethan,Mouse,1200
1082,Fiona,Monitor,15000
1083,Ivan,Keyboard,2500
1084,Alice,Monitor,15000
1085,George,Tablet,45000
1086,Hannah,Webcam,4000
1087,Diana,Mouse,1200
1088,Ethan,Tablet,45000
1089,Hannah,Mouse,1200
1090,Ethan,Laptop,75000
1091,Fiona,Mouse,1200
1092,Ivan,Mouse,1200
1093,Ethan,Phone,65000
1094,Charlie,Tablet,45000
1095,Hannah,Mouse,1200
1096,Fiona,Headphones,3500
1097,Bob,Webcam,4000
1098,Ivan,Webcam,4000
1099,Ivan,Phone,65000
1100,Hannah,Tablet,45000
